id,name,text,trans
0-chapter_name,,2: Betrayal Begets Betrayal,第2话 背叛与背叛
0-synopsis,,"Through interrogating Skull, the crew pinpoints Beatrix's location. Meanwhile at the Odajumoki's hideout, their leader, Guzaletha, strikes a secret pact with her.",通过与斯卡尔的交涉，一行人确定了贝阿朵丽丝的位置。与此同时，在小鸭摩托帮的藏身处，他们的头目古尔扎雷扎（グルザレッザ）与贝阿朵丽丝达成了一项秘密协定。
0,,"The crew returns to the airship with Skull in tow. Eustace, his gun trained on Skull, takes out a blue barrette from his pocket.",<span class='scene-font-katari'>一行人拖着斯卡尔回到了船上。尤斯缇斯用他的枪对准了斯卡尔，并从口袋里取出了一个蓝色发饰。</span>
1,Skull,Urk! That's—,啊！那个是——
2,Vyrn/碧,He hasn't told us anything...,他还什么都没告诉我们……
3,Skull,"Hah, what're you gonna do about that! You grungebags!",哈，你们到底想怎么样！你们这群垃圾！
4,Eustace,You know the woman who this barrette belongs to. Where did you take her?,你认识这发饰的主人。你们把她带到哪去了？
5,Skull,Hah! Can't find your friend?,哈！找不到你朋友了？
6,Eustace,"You know, you could've gotten a much higher price for Beatrix's sword than for this barrette.",你知道，比起这个发饰，你可以用贝阿朵丽丝的剑卖出更多钱。
7,Skull,You don't say? Curses! I should've taken the sword off her when we took her to the hideout!,真的吗？可恶！我们把她带到据点去的时候，我就应该把她的剑给拿走！
8,Lyria/露莉亚,...,……
9,Vyrn/碧,...,……
10,Skull,"What! You can stare at me all you like; these lips are sealed. No matter what you do to me, I won't talk!",怎么了！随便你们怎么盯着我看；我的嘴巴可严了。不管你们对我做什么，我什么都不会说的！
11,Vyrn/碧,"Actually, Crossbones, I think you might have already let something slip.",事实上，骷髅头的小哥，我认为你也许已经说漏嘴了。
12,Skull,"Wh-what? Oh no, what have I done! Whatever, you blowholes are still stuck without my help!",什、什么？哦，不，我做了什么！不管怎样，要不是我的帮助，你们这些家伙还是群无头苍蝇！
13,Eustace,Hollow-Skull. How apt that name is.,“脑袋空空的斯卡尔”。这名字可真贴切。
