id,name,text,trans
0-chapter_name,,1: Reunion Leads to Confrontation,第1话 重逢与邂逅
0-synopsis,,Eustace discovers for himself how strong the crew is and proposes that they accompany him on his mission.,尤斯缇斯亲眼目睹了船员们的实力，并提议让他们随自己一起执行任务。
0,,姬塔 and crew win the little scuffle against Eustace. Yet it hardly feels like a victory.,<span class='scene-font-katari'>姬塔一行人赢得了这场对抗尤斯缇斯的小打小闹。然而这很难称得上一场胜利。</span>
1,Vyrn/碧,"What is with this sourpuss... There's not a scratch on him, and it feels like he wasn't even trying...",这个板着脸的大哥哥是怎么一回事……他身上连一点擦痕都没有，感觉他根本没用力……
2,,"As the crew watches Eustace warily, Eustace gives an approving nod.",<span class='scene-font-katari'>当一行人警惕地观察尤斯缇斯时，他赞许地点了点头。</span>
3,Eustace,You've passed.,你们合格了。
4,Vyrn/碧,Huh? What's he even talking about?,哈？他到底在说啥？
5,Vaseraga,"Eustace, I take it you intend to involve these young'uns?",尤斯缇斯，我想你是打算让这些年轻人参与进来？
6,Eustace,You two trust these skyfarers.,你们俩信任这些骑空士。
7,Zeta,"Yes, but...",是的，但是……
8,Lyria/露莉亚,"Um, what's going on here? I'm completely lost.",唔，这到底是怎么回事？我完全摸不着头脑。
9,Zeta,"Oh, sorry for keeping you out of the loop. This is Eustace. He's an... associate of ours.",哦，对不起，一直把你们晾在一边。这是尤斯缇斯。他是……我们的一位同事。
10,Vyrn/碧,So he's also in that Society you two are part of?,所以，他也是你们在的那个“组织”的一员？
11,Vaseraga,That's right. And I suppose he wants your help on this particular quest.,是这样的。并且我认为他想让你们在这个任务上帮他一把。
12,Zeta,What do you mean? Eustace is going to take them instead of me? When I said that I wanted to go...,什么意思？尤斯缇斯会带着他们一起，而不是我？可我说我想去的时候……
13,Vaseraga,Zeta. We have our own mission. And you know 姬塔 gets things done. We shouldn't hesitate to rely on 姬塔 and the crew when we're in a tight spot.,泽塔，我们有我们自己的任务。并且你也知道姬塔能把事情完成。当我们身处困境时，应该毫不犹豫地依靠姬塔他们。
14,Zeta,"Well, you're awfully chatty today.",好吧，你今天话可真多。
15,Vaseraga,Perhaps I've said a little too much. But you know all too well the reason for that.,也许我说太多话了。但你也很明白这是因为什么。
16,Zeta,All right already!\nOvO.,好吧！\n姬塔。
17,Zeta,"I didn't want to bother you, but... would it be possible for you to help us out on this mission?",我不想困扰你，但是……你能在这个任务上帮我们一把吗？
18,Vyrn/碧,"We're not against helping, but it'd be nice to know what we'll be getting into.",我们不反对帮忙，但如果能知道我们将要面对什么，就再好不过了。
19,,"Zeta looks to Eustace for approval, to which he nods, before divulging any information.",<span class='scene-font-katari'>泽塔看向尤斯缇斯，寻求后者的同意；而尤斯缇斯点头允许，没有透露出任何信息。</span>
24,Zeta,"Beatrix, another associate of ours, is supposed to be here with us, but...",我们的另一位同事，贝阿朵莉切，本来应该现在和我们在一起，但是……
25,Zeta,"She went to a place called North Vast all by herself, and we've lost all contact with her.",她一个人去了叫做“北方荒原”的地方，而我们失去了和她的所有联系。
30,Lyria/露莉亚,L-lost all contact?,失、失去所有联系？
31,Vaseraga,We've not heard one word from her. We're trying not to assume the worst.,我们再没有她的任何消息。我们只能尽量不做最坏的设想。
32,Zeta,Eustace has been tasked with finding Bea.,尤斯缇斯被下达了寻找贝阿的任务。
33,Eustace,...,……
34,Zeta,"But I'm not too sure about Eustace going alone, so I want to tag along, but...",但我也不确定尤斯缇斯一个人去行不行，所以我想跟着一块去，但是……
35,Eustace,I can't allow you to accompany me.,我不能让你和我同行。
36,Zeta,"Ugh, what's up with you and that attitude!",啊，你这是什么态度！
37,Eustace,I'm simply better than you.,我只是比你强罢了。
38,Zeta,"Yeah, you think so? Don't move from that spot.",是吗，你这么想的？站那别动。
39,Eustace,We don't have permission to battle each other. Lower your weapon.,我们没有彼此战斗的许可。放下你的武器。
40,Zeta,Let's settle the question of who's best once and for all! Feel my blade!,让我们一劳永逸地解决谁是最好的这个问题！尝尝我的锋刃！
41,Eustace,...,……
43,Vaseraga,"Sigh, I don't blame Zeta for losing her cool.",唉，我不怪泽塔失去了她的冷静。
44,Vaseraga,She hasn't been herself ever since we received that last report.,自从她接到那最后的报告后，她就变了个人。
